Date,,,,Day Temp. oC,Night Temp. oC
5/4/2019,5,April,2019,41,22
6/4/2019,6,April,2019,40,24
7/4/2019,7,April,2019,37,23
8/4/2019,8,April,2019,38,20
9/4/2019,9,April,2019,38,22
10/4/2019,10,April,2019,40,23
11/4/2019,11,April,2019,41,24
12/4/2019,12,April,2019,38,25
13/4/2019,13,April,2019,39,24
14/4/2019,14,April,2019,40,24
15/4/2019,15,April,2019,41,26
16/4/2019,16,April,2019,32,21
17/4/2019,17,April,2019,30,20
18/4/2019,18,April,2019,32,17
19/4/2019,19,April,2019,34,19
20/4/2019,20,April,2019,36,3
21/4/2019,21,April,2019,39,23
22/4/2019,22,April,2019,40,24
23/4/2019,23,April,2019,42,24
24/4/2019,24,April,2019,43,27
25/4/2019,25,April,2019,43,25
26/4/2019,26,April,2019,42,25
27/4/2019,27,April,2019,42,26
28/4/2019,28,April,2019,43,25
29/4/2019,29,April,2019,43,25
30/4/2019,30,April,2019,45,26
1/5/2019,1,May,2019,43,26
2/5/2019,2,May,2019,40,26
3/5/2019,3,May,2019,40,25
4/5/2019,4,May,2019,41,23
5/5/2019,5,May,2019,41,22
6/5/2019,6,May,2019,43,25
7/5/2019,7,May,2019,43,24
8/5/2019,8,May,2019,44,26
9/5/2019,9,May,2019,44,28
10/5/2019,10,May,2019,43,29
11/5/2019,11,May,2019,40,25
12/5/2019,12,May,2019,40,26
13/5/2019,13,May,2019,42,26
14/5/2019,14,May,2019,37,23
15/5/2019,15,May,2019,36,24
16/5/2019,16,May,2019,38,21
17/5/2019,17,May,2019,38,21
18/5/2019,18,May,2019,34,20
19/5/2019,19,May,2019,39,24
20/5/2019,20,May,2019,41,24
21/5/2019,21,May,2019,42,26
22/5/2019,22,May,2019,40,27
23/5/2019,23,May,2019,41,25
24/5/2019,24,May,2019,35,24
25/5/2019,25,May,2019,39,25
26/5/2019,26,May,2019,41,24
27/5/2019,27,May,2019,44,27
28/5/2019,28,May,2019,44,25
29/5/2019,29,May,2019,45,26
30/5/2019,30,May,2019,47,29
31/5/2019,31,May,2019,46,29
1/6/2019,1,June,2019,46,30
2/6/2019,2,June,2019,45,30
3/6/2019,3,June,2019,42,30
4/6/2019,4,June,2019,43,29
5/6/2019,5,June,2019,45,30
6/6/2019,6,June,2019,45,30
7/6/2019,7,June,2019,42,26
8/6/2019,8,June,2019,45,29
9/6/2019,9,June,2019,46,29
10/6/2019,10,June,2019,48,30
11/6/2019,11,June,2019,45,33
12/6/2019,12,June,2019,43,31
13/6/2019,13,June,2019,43,30
14/6/2019,14,June,2019,45,30
15/6/2019,15,June,2019,45,29
16/6/2019,16,June,2019,38,28
17/6/2019,17,June,2019,34,28
18/6/2019,18,June,2019,37,21
19/6/2019,19,June,2019,39,25
20/6/2019,20,June,2019,41,25
21/6/2019,21,June,2019,41,29
22/6/2019,22,June,2019,42,27
23/6/2019,23,June,2019,43,29
24/6/2019,24,June,2019,39,27
25/6/2019,25,June,2019,40,28
26/6/2019,26,June,2019,43,30
27/6/2019,27,June,2019,41,30
28/6/2019,28,June,2019,44,29
29/6/2019,29,June,2019,45,30
30/6/2019,30,June,2019,45,33
1/7/2019,1,July,2019,43,31
2/7/2019,2,July,2019,41,30
3/7/2019,3,July,2019,42,30
4/7/2019,4,July,2019,40,28
5/7/2019,5,July,2019,34,27
6/7/2019,6,July,2019,39,27
7/7/2019,7,July,2019,37,28
8/7/2019,8,July,2019,38,29
9/7/2019,9,July,2019,36,28
10/7/2019,10,July,2019,39,28
11/7/2019,11,July,2019,41,31
12/7/2019,12,July,2019,39,31
13/7/2019,13,July,2019,41,31
14/7/2019,14,July,2019,40,30
15/7/2019,15,July,2019,37,25
16/7/2019,16,July,2019,33,22
17/7/2019,17,July,2019,32,23
18/7/2019,18,July,2019,29,22
19/7/2019,19,July,2019,36,25
20/7/2019,20,July,2019,36,28
21/7/2019,21,July,2019,37,26
22/7/2019,22,July,2019,37,24
23/7/2019,23,July,2019,38,29
24/7/2019,24,July,2019,38,28
25/7/2019,25,July,2019,30,26
26/7/2019,26,July,2019,32,26
27/7/2019,27,July,2019,31,25
28/7/2019,28,July,2019,34,25
29/7/2019,29,July,2019,34,27
30/7/2019,30,July,2019,34,28
31/7/2019,31,July,2019,34,27
1/8/2019,1,August,2019,37,27
2/8/2019,2,August,2019,34,27
3/8/2019,3,August,2019,31,26
4/8/2019,4,August,2019,36,26
5/8/2019,5,August,2019,36,26
6/8/2019,6,August,2019,29,24
7/8/2019,7,August,2019,34,25
8/8/2019,8,August,2019,38,27
9/8/2019,9,August,2019,34,28
10/8/2019,10,August,2019,34,27
11/8/2019,11,August,2019,37,27
12/8/2019,12,August,2019,36,27
13/8/2019,13,August,2019,36,27
14/8/2019,14,August,2019,33,26
15/8/2019,15,August,2019,34,24
16/8/2019,16,August,2019,33,26
17/8/2019,17,August,2019,29,25
18/8/2019,18,August,2019,30,24
19/8/2019,19,August,2019,35,25
20/8/2019,20,August,2019,35,26
21/8/2019,21,August,2019,36,26
22/8/2019,22,August,2019,39,25
23/8/2019,23,August,2019,37,26
24/8/2019,24,August,2019,34,28
25/8/2019,25,August,2019,34,26
26/8/2019,26,August,2019,35,25
27/8/2019,27,August,2019,37,27
28/8/2019,28,August,2019,38,28
29/8/2019,29,August,2019,37,28
30/8/2019,30,August,2019,38,27
31/8/2019,31,August,2019,38,28
1/9/2019,1,September,2019,33,26
2/9/2019,2,September,2019,37,26
3/9/2019,3,September,2019,36,28
4/9/2019,4,September,2019,35,28
5/9/2019,5,September,2019,37,27
6/9/2019,6,September,2019,37,27
7/9/2019,7,September,2019,36,27
8/9/2019,8,September,2019,37,26
9/9/2019,9,September,2019,38,28
10/9/2019,10,September,2019,38,27
11/9/2019,11,September,2019,40,28
12/9/2019,12,September,2019,39,28
13/9/2019,13,September,2019,39,27
14/9/2019,14,September,2019,35,27
15/9/2019,15,September,2019,35,27
16/9/2019,16,September,2019,37,26
17/9/2019,17,September,2019,36,25
18/9/2019,18,September,2019,36,25
19/9/2019,19,September,2019,33,25
20/9/2019,20,September,2019,35,24
21/9/2019,21,September,2019,37,24
22/9/2019,22,September,2019,28,22
23/9/2019,23,September,2019,32,23
24/9/2019,24,September,2019,33,23
25/9/2019,25,September,2019,34,23
26/9/2019,26,September,2019,34,25
27/9/2019,27,September,2019,32,24
28/9/2019,28,September,2019,32,23
29/9/2019,29,September,2019,31,23
30/9/2019,30,September,2019,32,23
1/10/2019,1,October,2019,33,23
2/10/2019,2,October,2019,33,24
3/10/2019,3,October,2019,36,22
4/10/2019,4,October,2019,31,20
5/10/2019,5,October,2019,33,20
6/10/2019,6,October,2019,32,21
7/10/2019,7,October,2019,32,22
8/10/2019,8,October,2019,32,20
9/10/2019,9,October,2019,33,20
10/10/2019,10,October,2019,34,21
11/10/2019,11,October,2019,33,20
12/10/2019,12,October,2019,33,21
13/10/2019,13,October,2019,33,20
14/10/2019,14,October,2019,33,20
15/10/2019,15,October,2019,34,21
16/10/2019,16,October,2019,34,22
17/10/2019,17,October,2019,34,21
18/10/2019,18,October,2019,34,21
19/10/2019,19,October,2019,32,20
20/10/2019,20,October,2019,33,19
21/10/2019,21,October,2019,32,18
22/10/2019,22,October,2019,31,17
23/10/2019,23,October,2019,32,17
24/10/2019,24,October,2019,32,18
25/10/2019,25,October,2019,31,18
26/10/2019,26,October,2019,31,18
27/10/2019,27,October,2019,31,18
28/10/2019,28,October,2019,30,17
29/10/2019,29,October,2019,28,18
30/10/2019,30,October,2019,31,20
31/10/2019,31,October,2019,31,17
1/11/2019,1,November,2019,31,18
2/11/2019,2,November,2019,29,21
3/11/2019,3,November,2019,27,18
4/11/2019,4,November,2019,29,18
5/11/2019,5,November,2019,30,16
6/11/2019,6,November,2019,32,16
7/11/2019,7,November,2019,22,18
8/11/2019,8,November,2019,28,16
9/11/2019,9,November,2019,29,15
10/11/2019,10,November,2019,28,14
11/11/2019,11,November,2019,27,14
12/11/2019,12,November,2019,27,12
13/11/2019,13,November,2019,27,14
14/11/2019,14,November,2019,26,16
15/11/2019,15,November,2019,27,16
16/11/2019,16,November,2019,29,16
17/11/2019,17,November,2019,28,14
18/11/2019,18,November,2019,26,14
19/11/2019,19,November,2019,26,13
20/11/2019,20,November,2019,27,12
21/11/2019,21,November,2019,27,13
22/11/2019,22,November,2019,27,13
23/11/2019,23,November,2019,26,15
24/11/2019,24,November,2019,26,15
25/11/2019,25,November,2019,26,14
26/11/2019,26,November,2019,28,16
27/11/2019,27,November,2019,26,15
28/11/2019,28,November,2019,23,15
29/11/2019,29,November,2019,24,12
30/11/2019,30,November,2019,21,12
1/12/2019,1,December,2019,22,9
2/12/2019,2,December,2019,23,9
3/12/2019,3,December,2019,24,9
4/12/2019,4,December,2019,24,8
5/12/2019,5,December,2019,23,8
6/12/2019,6,December,2019,23,9
7/12/2019,7,December,2019,23,10
8/12/2019,8,December,2019,23,10
9/12/2019,9,December,2019,23,9
10/12/2019,10,December,2019,21,9
11/12/2019,11,December,2019,23,9
12/12/2019,12,December,2019,21,12
13/12/2019,13,December,2019,18,13
14/12/2019,14,December,2019,18,10
15/12/2019,15,December,2019,18,9
16/12/2019,16,December,2019,12,10
17/12/2019,17,December,2019,13,9
18/12/2019,18,December,2019,16,8
19/12/2019,19,December,2019,15,5
20/12/2019,20,December,2019,15,8
21/12/2019,21,December,2019,17,9
22/12/2019,22,December,2019,14,9
23/12/2019,23,December,2019,13,7
24/12/2019,24,December,2019,15,6
25/12/2019,25,December,2019,12,5
26/12/2019,26,December,2019,12,6
27/12/2019,27,December,2019,13,4
28/12/2019,28,December,2019,11,3
29/12/2019,29,December,2019,14,3
30/12/2019,30,December,2019,10,3
31/12/2019,31,December,2019,14,5
1/1/2020,1,January,2020,20,3
2/1/2020,2,January,2020,21,6
3/1/2020,3,January,2020,22,8
4/1/2020,4,January,2020,20,9
5/1/2020,5,January,2020,21,7
6/1/2020,6,January,2020,20,9
7/1/2020,7,January,2020,19,11
8/1/2020,8,January,2020,14,11
9/1/2020,9,January,2020,13,8
10/1/2020,10,January,2020,16,5
11/1/2020,11,January,2020,19,6
12/1/2020,12,January,2020,21,8
13/1/2020,13,January,2020,21,10
14/1/2020,14,January,2020,16,9
15/1/2020,15,January,2020,18,7
16/1/2020,16,January,2020,16,9
17/1/2020,17,January,2020,16,10
18/1/2020,18,January,2020,16,9
19/1/2020,19,January,2020,16,6
20/1/2020,20,January,2020,15,8
21/1/2020,21,January,2020,20,9
22/1/2020,22,January,2020,16,8
23/1/2020,23,January,2020,20,7
24/1/2020,24,January,2020,20,6
25/1/2020,25,January,2020,21,6
26/1/2020,26,January,2020,22,7
27/1/2020,27,January,2020,22,9
28/1/2020,28,January,2020,20,11
29/1/2020,29,January,2020,20,9
30/1/2020,30,January,2020,20,8
31/1/2020,31,January,2020,18,6
1/2/2020,1,February,2020,20,7
2/2/2020,2,February,2020,19,6
3/2/2020,3,February,2020,21,6
4/2/2020,4,February,2020,22,6
5/2/2020,5,February,2020,21,8
6/2/2020,6,February,2020,20,7
7/2/2020,7,February,2020,20,7
8/2/2020,8,February,2020,21,7
9/2/2020,9,February,2020,21,7
10/2/2020,10,February,2020,21,7
11/2/2020,11,February,2020,23,7
12/2/2020,12,February,2020,24,9
13/2/2020,13,February,2020,27,10
14/2/2020,14,February,2020,25,11
15/2/2020,15,February,2020,25,9
16/2/2020,16,February,2020,26,9
17/2/2020,17,February,2020,26,10
18/2/2020,18,February,2020,27,9
19/2/2020,19,February,2020,27,9
20/2/2020,20,February,2020,28,14
21/2/2020,21,February,2020,21,14
22/2/2020,22,February,2020,24,12
23/2/2020,23,February,2020,26,14
24/2/2020,24,February,2020,26,12
25/2/2020,25,February,2020,26,13
26/2/2020,26,February,2020,27,14
27/2/2020,27,February,2020,28,14
28/2/2020,28,February,2020,28,17
29/2/2020,29,February,2020,29,16
1/3/2020,1,March,2020,27,14
2/3/2020,2,March,2020,28,15
3/3/2020,3,March,2020,28,15
4/3/2020,4,March,2020,29,15
5/3/2020,5,March,2020,29,14
6/3/2020,6,March,2020,22,14
7/3/2020,7,March,2020,21,12
8/3/2020,8,March,2020,25,12
9/3/2020,9,March,2020,26,12
10/3/2020,10,March,2020,26,10
11/3/2020,11,March,2020,28,15
12/3/2020,12,March,2020,28,15
13/3/2020,13,March,2020,28,14
14/3/2020,14,March,2020,26,16
15/3/2020,15,March,2020,26,12
16/3/2020,16,March,2020,27,14
17/3/2020,17,March,2020,29,14
18/3/2020,18,March,2020,30,14
19/3/2020,19,March,2020,32,16
20/3/2020,20,March,2020,31,17
21/3/2020,21,March,2020,31,18
22/3/2020,22,March,2020,32,16
23/3/2020,23,March,2020,33,17
24/3/2020,24,March,2020,33,19
25/3/2020,25,March,2020,33,17
26/3/2020,26,March,2020,29,19
27/3/2020,27,March,2020,28,18
28/3/2020,28,March,2020,30,16
29/3/2020,29,March,2020,31,16
30/3/2020,30,March,2020,31,16
31/3/2020,31,March,2020,33,17
1/4/2020,1,April,2020,32,17
2/4/2020,2,April,2020,32,17
3/4/2020,3,April,2020,32,16
4/4/2020,4,April,2020,33,15
5/4/2020,5,April,2020,34,17
6/4/2020,6,April,2020,38,19
7/4/2020,7,April,2020,35,18
8/4/2020,8,April,2020,35,18
9/4/2020,9,April,2020,35,17
10/4/2020,10,April,2020,37,18
11/4/2020,11,April,2020,39,21
12/4/2020,12,April,2020,38,20
13/4/2020,13,April,2020,40,21
14/4/2020,14,April,2020,41,24
15/4/2020,15,April,2020,41,25
16/4/2020,16,April,2020,40,23
17/4/2020,17,April,2020,39,25
18/4/2020,18,April,2020,38,23
19/4/2020,19,April,2020,37,20
20/4/2020,20,April,2020,33,21
21/4/2020,21,April,2020,36,19
22/4/2020,22,April,2020,37,19
23/4/2020,23,April,2020,36,24
24/4/2020,24,April,2020,39,21
25/4/2020,25,April,2020,39,24
26/4/2020,26,April,2020,30,20
27/4/2020,27,April,2020,35,19
28/4/2020,28,April,2020,36,22
29/4/2020,29,April,2020,38,23
30/4/2020,30,April,2020,40,24
1/5/2020,1,May,2020,30,24
2/5/2020,2,May,2020,39,24
3/5/2020,3,May,2020,38,22
4/5/2020,4,May,2020,36,20
5/5/2020,5,May,2020,38,22
6/5/2020,6,May,2020,36,23
7/5/2020,7,May,2020,39,22
8/5/2020,8,May,2020,41,23
9/5/2020,9,May,2020,42,24
10/5/2020,10,May,2020,37,23
11/5/2020,11,May,2020,37,20
12/5/2020,12,May,2020,39,24
13/5/2020,13,May,2020,37,26
14/5/2020,14,May,2020,41,23
15/5/2020,15,May,2020,40,23
16/5/2020,16,May,2020,41,24
17/5/2020,17,May,2020,42,24
18/5/2020,18,May,2020,42,24
19/5/2020,19,May,2020,43,23
20/5/2020,20,May,2020,42,22
21/5/2020,21,May,2020,44,23
22/5/2020,22,May,2020,45,24
23/5/2020,23,May,2020,46,28
24/5/2020,24,May,2020,45,29
25/5/2020,25,May,2020,46,27
26/5/2020,26,May,2020,48,29
27/5/2020,27,May,2020,47,28
28/5/2020,28,May,2020,42,25
29/5/2020,29,May,2020,38,22
30/5/2020,30,May,2020,36,22
31/5/2020,31,May,2020,34,20
1/6/2020,1,June,2020,36,20
2/6/2020,2,June,2020,38,24
3/6/2020,3,June,2020,39,24
4/6/2020,4,June,2020,37,25
5/6/2020,5,June,2020,36,23
6/6/2020,6,June,2020,38,23
7/6/2020,7,June,2020,36,21
8/6/2020,8,June,2020,39,24
9/6/2020,9,June,2020,42,26
10/6/2020,10,June,2020,44,28
11/6/2020,11,June,2020,42,26
12/6/2020,12,June,2020,42,29
13/6/2020,13,June,2020,42,29
14/6/2020,14,June,2020,41,27
15/6/2020,15,June,2020,43,28
16/6/2020,16,June,2020,41,29
17/6/2020,17,June,2020,42,29
18/6/2020,18,June,2020,44,28
19/6/2020,19,June,2020,43,30
20/6/2020,20,June,2020,40,28
21/6/2020,21,June,2020,38,25
22/6/2020,22,June,2020,38,24
23/6/2020,23,June,2020,39,27
24/6/2020,24,June,2020,37,29
25/6/2020,25,June,2020,39,28
26/6/2020,26,June,2020,39,29
27/6/2020,27,June,2020,41,29
28/6/2020,28,June,2020,43,30
29/6/2020,29,June,2020,42,29
30/6/2020,30,June,2020,40,28
1/7/2020,1,July,2020,40,30
2/7/2020,2,July,2020,41,31
3/7/2020,3,July,2020,43,31
4/7/2020,4,July,2020,39,29
5/7/2020,5,July,2020,35,24
6/7/2020,6,July,2020,37,28
7/7/2020,7,July,2020,36,28
8/7/2020,8,July,2020,36,27
9/7/2020,9,July,2020,38,28
10/7/2020,10,July,2020,39,30
11/7/2020,11,July,2020,37,26
12/7/2020,12,July,2020,36,26
13/7/2020,13,July,2020,38,27
14/7/2020,14,July,2020,39,28
15/7/2020,15,July,2020,38,30
16/7/2020,16,July,2020,39,30
17/7/2020,17,July,2020,37,30
18/7/2020,18,July,2020,37,30
19/7/2020,19,July,2020,34,26
20/7/2020,20,July,2020,33,26
21/7/2020,21,July,2020,33,25
22/7/2020,22,July,2020,28,24
23/7/2020,23,July,2020,34,25
24/7/2020,24,July,2020,36,27
25/7/2020,25,July,2020,35,27
26/7/2020,26,July,2020,35,27
27/7/2020,27,July,2020,36,29
28/7/2020,28,July,2020,38,29
29/7/2020,29,July,2020,37,26
30/7/2020,30,July,2020,32,25
31/7/2020,31,July,2020,33,26
